epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3468.85,0.85257,0.52587,0.92984,0.90977,0.83977,0.92164,0.66302,0.80721,0.46756,0.9113,0.000828443,0.000828443,0.000828443
43,3553.46,0.85189,0.52756,0.92864,0.8997,0.85848,0.91922,0.65958,0.80517,0.46619,0.91155,0.000820525,0.000820525,0.000820525
44,3636.31,0.83712,0.5162,0.92516,0.91093,0.85814,0.92721,0.66509,0.78508,0.45538,0.90731,0.000812468,0.000812468,0.000812468
45,3719.55,0.8394,0.51709,0.92577,0.8986,0.87616,0.93067,0.67514,0.78828,0.44681,0.90797,0.000804277,0.000804277,0.000804277
46,3802.63,0.83311,0.51138,0.9238,0.91885,0.85471,0.92361,0.66516,0.77975,0.4432,0.90429,0.000795954,0.000795954,0.000795954
47,3886.12,0.82929,0.50963,0.92219,0.89037,0.86274,0.9247,0.6659,0.77409,0.44054,0.90523,0.000787503,0.000787503,0.000787503
48,3969.19,0.82162,0.50759,0.91941,0.91634,0.85877,0.9246,0.67367,0.77751,0.44539,0.90582,0.000778929,0.000778929,0.000778929
49,4052.77,0.82289,0.50556,0.92033,0.91988,0.85761,0.92451,0.67508,0.7671,0.44056,0.9034,0.000770234,0.000770234,0.000770234
50,4137.56,0.81655,0.50366,0.91922,0.91274,0.85714,0.9276,0.68363,0.76907,0.43615,0.90069,0.000761423,0.000761423,0.000761423
51,4221.9,0.81642,0.50163,0.91661,0.90026,0.86355,0.92561,0.6769,0.77552,0.44485,0.90227,0.0007525,0.0007525,0.0007525
52,4306.06,0.80612,0.49412,0.91263,0.92032,0.8522,0.92683,0.68342,0.77712,0.43923,0.90229,0.000743468,0.000743468,0.000743468
53,4387.88,0.80225,0.49479,0.91324,0.92296,0.85942,0.93085,0.68178,0.76768,0.4329,0.90028,0.000734332,0.000734332,0.000734332
54,4468.09,0.80728,0.4947,0.91463,0.91716,0.87473,0.93247,0.68469,0.75716,0.42962,0.89806,0.000725094,0.000725094,0.000725094
